Fabada asturiana,Modified Question,Answer,entities,
,Would the trees in Ireneo Portela be changing colors in September?,FALSE,Ireneo Portela (Q9009279),
,Would the trees in Pedro Molina be changing colors in September?,FALSE,Pedro Molina (Q2466426),
S79,Would it be plausible to say that one of Regio Călători's vehicles has broken the sound barrier?,FALSE,,
,Would it be plausible to say that one of Ilmebahn's vehicles has broken the sound barrier?,FALSE,Ilmebahn (Q114723014),
,Would it be plausible to say that one of Stauden-Verkehrs-Gesellschaft's vehicles has broken the sound barrier?,FALSE,Stauden-Verkehrs-Gesellschaft (Q100794941),
,Would it be plausible to say that one of Koleje Dolnośląskie's vehicles has broken the sound barrier?,FALSE,Koleje Dolnośląskie (Q597307),
,Would it be plausible to say that one of De Bornholmske Jernbaner's vehicles has broken the sound barrier?,FALSE,De Bornholmske Jernbaner (Q955261),
,Would it be plausible to say that one of Westerwaldbahn GmbH's vehicles has broken the sound barrier?,FALSE,Westerwaldbahn GmbH (Q1247885),
,Would it be plausible to say that one of Journey Beyond's vehicles has broken the sound barrier?,FALSE,Journey Beyond (Q1544385),
,Would it be plausible to say that one of Viamont's vehicles has broken the sound barrier?,FALSE,Viamont (Q2521734),
,Would it be plausible to say that one of Sporveien T-banen's vehicles has broken the sound barrier?,FALSE,Sporveien T-banen (Q7107051),
,Would it be plausible to say that one of Montecargo's vehicles has broken the sound barrier?,FALSE,Montecargo (Q113996016),
,Would it be plausible to say that one of Citypendeln's vehicles has broken the sound barrier?,FALSE,Citypendeln (Q10453577),
S80,Could JAJC be destroyed by a hammer?,FALSE,,
,Could OpenSnitch be destroyed by a hammer?,FALSE,OpenSnitch (Q115156358),
,Could AWS WAF be destroyed by a hammer?,FALSE,AWS WAF (Q114603215),
,Could m0n0wall be destroyed by a hammer?,FALSE,m0n0wall (Q263666),
,Could OpenBSD PF be destroyed by a hammer?,FALSE,OpenBSD PF (Q311404),
,Could pfSense be destroyed by a hammer?,FALSE,pfSense (Q310946),
,Could FortiGate be destroyed by a hammer?,FALSE,FortiGate (Q11200421),
,Could PeerGuardian be destroyed by a hammer?,FALSE,PeerGuardian (Q1092824),
,Could SmoothWall be destroyed by a hammer?,FALSE,SmoothWall (Q2567445),
,Could MoBlock be destroyed by a hammer?,FALSE,MoBlock (Q1178110),
,Could FireHOL be destroyed by a hammer?,FALSE,FireHOL (Q5451278),
S81,Did Checheyikhen make a bigger family than Naser al-Din Shah Qajar?,FALSE,,
,Did Luiza Xhuvani make a bigger family than Naser al-Din Shah Qajar?,FALSE,Luiza Xhuvani (Q570541),
,Did Roza Anagnosti make a bigger family than Naser al-Din Shah Qajar?,FALSE,Roza Anagnosti (Q3302823),
,Did Monika Kryemadhi make a bigger family than Naser al-Din Shah Qajar?,FALSE,Monika Kryemadhi (Q6900200),
,Did Besnik Haxhillari make a bigger family than Naser al-Din Shah Qajar?,FALSE,Besnik Haxhillari (Q113736884),
,Did Drita Haxhiraj make a bigger family than Naser al-Din Shah Qajar?,FALSE,Drita Haxhiraj (Q9210805),
,Did Ema Ndoja make a bigger family than Naser al-Din Shah Qajar?,FALSE,Ema Ndoja (Q9253332),
,Did Anna Oxa make a bigger family than Naser al-Din Shah Qajar?,FALSE,Anna Oxa (Q238061),
,Did Kristaq Rama make a bigger family than Naser al-Din Shah Qajar?,FALSE,Kristaq Rama (Q3301037),
,Did Peter Losha make a bigger family than Naser al-Din Shah Qajar?,FALSE,Peter Losha (Q3302401),
,Did Roza Anagnosti make a bigger family than Naser al-Din Shah Qajar?,FALSE,Roza Anagnosti (Q3302823),
S82,Would a person with the same occupation as Zheng Liangshu be needed during the SCCA ProRally?,FALSE,,
,Would a person with the same occupation as Teruo Tarumoto be needed during the SCCA ProRally?,FALSE,Teruo Tarumoto (Q30925899),
,Would a person with the same occupation as Chizan Ōuchi be needed during the SCCA ProRally?,FALSE,Chizan Ōuchi (Q38277426),
,Would a person with the same occupation as Stephen F. Teiser be needed during the SCCA ProRally?,FALSE,Stephen F. Teiser (Q42211283),
,Would a person with the same occupation as Aleksandr Khokhlov be needed during the SCCA ProRally?,FALSE,Aleksandr Khokhlov (Q47452797),
,Would a person with the same occupation as Nozomu Ishii be needed during the SCCA ProRally?,FALSE,Nozomu Ishii (Q51166970),
,Would a person with the same occupation as Gunter Schubert be needed during the SCCA ProRally?,FALSE,Gunter Schubert (Q55007102),
,Would a person with the same occupation as Pierre Trolliet be needed during the SCCA ProRally?,FALSE,Pierre Trolliet (Q55619995),
,Would a person with the same occupation as Irene Bloom be needed during the SCCA ProRally?,FALSE,Irene Bloom (Q59526672),
,Would a person with the same occupation as Joachim Schickel be needed during the SCCA ProRally?,FALSE,Joachim Schickel (Q59530717),
,Would a person with the same occupation as Binyong Yin be needed during the SCCA ProRally?,FALSE,Binyong Yin (Q59532012),
S83,Is it likely for Nancy Anne Sakovich to believe in the barzakh?,TRUE,,
,Is it likely for Ahmet Şık to believe in the barzakh?,TRUE,Ahmet Şık (Q402020),
,Is it likely for Bahadır Baruter to believe in the barzakh?,TRUE,Bahadır Baruter (Q4842284),
,Is it likely for Mina Urgan to believe in the barzakh?,TRUE,Mina Urgan (Q6099073),
,Is it likely for Halil Berktay to believe in the barzakh?,TRUE,Halil Berktay (Q2905382),
,Is it likely for Ali Demirsoy to believe in the barzakh?,TRUE,Ali Demirsoy (Q6099282),
,Is it likely for Güner Kuban to believe in the barzakh?,TRUE,Güner Kuban (Q20790589),
,Is it likely for İlhan Arsel to believe in the barzakh?,TRUE,İlhan Arsel (Q3388947),
,Is it likely for Turan Dursun to believe in the barzakh?,TRUE,Turan Dursun (Q693103),
,Is it likely for Erdoğan Aydın to believe in the barzakh?,TRUE,Erdoğan Aydın (Q6029969),
,Is it likely for Bedri Baykam to believe in the barzakh?,TRUE,Bedri Baykam (Q2003884),
S84,Could Yanagiwara Naruko have read one of Shana Yardan’s works?,FALSE,,
,Could Yanagiwara Naruko have read one of Shigenori Kawagoe’s works?,FALSE,Shigenori Kawagoe (Q36677575),
,Could Yanagiwara Naruko have read one of Mukai Genshō’s works?,FALSE,Mukai Genshō (Q1952005),
,Could Yanagiwara Naruko have read one of Tokutarō Itō’s works?,FALSE,Tokutarō Itō (Q5816758),
,Could Yanagiwara Naruko have read one of Yoichirō Hirase’s works?,FALSE,Yoichirō Hirase (Q8054515),
,Could Yanagiwara Naruko have read one of Takiya Kawakami’s works?,FALSE,Takiya Kawakami (Q11054892),
,Could Yanagiwara Naruko have read one of Maeda Toshiyasu’s works?,FALSE,Maeda Toshiyasu (Q6729121),
,Could Yanagiwara Naruko have read one of Yoshiaki Ozawa’s works?,FALSE,Yoshiaki Ozawa (Q11462362),
,Could Yanagiwara Naruko have read one of Tanaka Yoshio’s works?,FALSE,Tanaka Yoshio (Q11575905),
,Could Yanagiwara Naruko have read one of Ryōkichi Yatabe’s works?,FALSE,Ryōkichi Yatabe (Q1515363),
,Could Yanagiwara Naruko have read one of Shintarō Hirase’s works?,FALSE,Shintarō Hirase (Q7497788),
S86,Did Jürgen Brähmer train to use the gogoplata?,FALSE,,
,Did Akira Yamamoto train to use the gogoplata?,FALSE,Akira Yamamoto (Q17224350),
,Did Shunsuke Tanaka train to use the gogoplata?,FALSE,Shunsuke Tanaka (Q22128287),
,Did Hiroyuki Maeda train to use the gogoplata?,FALSE,Hiroyuki Maeda (Q11239262),
,Did Genji Umeno train to use the gogoplata?,FALSE,Genji Umeno (Q11538691),
,Did Joe Higashi train to use the gogoplata?,FALSE,Joe Higashi (Q3110625),
,Did Hiroshi Sōda train to use the gogoplata?,FALSE,Hiroshi Sōda (Q17160378),
,Did Tatsuya Ishiguro train to use the gogoplata?,FALSE,Tatsuya Ishiguro (Q11587342),
,Did Tsuyoshi Katō train to use the gogoplata?,FALSE,Tsuyoshi Katō (Q20039435),
,Did Koyata Yamada train to use the gogoplata?,FALSE,Koyata Yamada (Q115947689),
,Did Keisuke Monguchi train to use the gogoplata?,FALSE,Keisuke Monguchi (Q107633255),
S87,Could Paolo Cannavaro have suffered from the syndrome of middle children?,FALSE,,
,Could Armend Dallku have suffered from the syndrome of middle children?,FALSE,Armend Dallku (Q531396),
,Could Arlind Ajeti have suffered from the syndrome of middle children?,FALSE,Arlind Ajeti (Q675426),
,Could Milton Manaki have suffered from the syndrome of middle children?,FALSE,Milton Manaki (Q23472012),
,Could Sevasti Qiriazi have suffered from the syndrome of middle children?,FALSE,Sevasti Qiriazi (Q13045607),
,Could Era Istrefi have suffered from the syndrome of middle children?,FALSE,Era Istrefi (Q16911049),
,Could Kostandin Zografi have suffered from the syndrome of middle children?,FALSE,Kostandin Zografi (Q40329653),
,Could Kristaq Tutulani have suffered from the syndrome of middle children?,FALSE,Kristaq Tutulani (Q13041123),
,Could Athanas Zografi have suffered from the syndrome of middle children?,FALSE,Athanas Zografi (Q40329676),
,Could Nora Istrefi have suffered from the syndrome of middle children?,FALSE,Nora Istrefi (Q462738),
,Could Zehrudin Dokle have suffered from the syndrome of middle children?,FALSE,Zehrudin Dokle (Q3299797),
S88,Is it possible for Rinu to have experienced menstruation?,TRUE,,
,Could Emanuele Crialese have experienced menstruation?,TRUE,Emanuele Crialese (Q82234),
,Could Noah Skaalum have experienced menstruation?,TRUE,Noah Skaalum (Q495829),
,Could Kumi Yokoyama have experienced menstruation?,TRUE,Kumi Yokoyama (Q6443864),
,Could Masae Torai have experienced menstruation?,TRUE,Masae Torai (Q11625275),
,Could Keito Gaku have experienced menstruation?,TRUE,Keito Gaku (Q106853303),
,Could Shiki Aoki have experienced menstruation?,TRUE,Shiki Aoki (Q23948723),
,Could Nanae Chrono have experienced menstruation?,TRUE,Nanae Chrono (Q1012736),
,Could Shō Arai have experienced menstruation?,TRUE,Shō Arai (Q11501241),
,Could Soichi Yamaguchi have experienced menstruation?,TRUE,Soichi Yamaguchi (Q122413883),
,Could Rei Kakyoin have experienced menstruation?,TRUE,Rei Kakyoin (Q17219118),
S89,Does the number of clubs that Gienir Garcia played for and the number of clubs that Ismael Rodriguez played for add up to a prime number?,TRUE,,
,Does the number of clubs that Gienir Garcia played for and the number of clubs that Janista Jinantuya played for add up to a prime number?,TRUE,Janista Jinantuya (Q118519230),
,Does the number of clubs that Gienir Garcia played for and the number of clubs that Mohammad Hossein Zavari played for add up to a prime number?,TRUE,Mohammad Hossein Zavari (Q112075271),
,Does the number of clubs that Gienir Garcia played for and the number of clubs that Ali Hassani Sefat played for add up to a prime number?,TRUE,Ali Hassani Sefat (Q4724859),
,Does the number of clubs that Gienir Garcia played for and the number of clubs that Amirhossein Reyvandi played for add up to a prime number?,TRUE,Amirhossein Reyvandi (Q125941671),
,Does the number of clubs that Gienir Garcia played for and the number of clubs that Edris Rahmani played for add up to a prime number?,TRUE,Edris Rahmani (Q130531443),
,Does the number of clubs that Gienir Garcia played for and the number of clubs that Golnoosh Khosravi played for add up to a prime number?,TRUE,Golnoosh Khosravi (Q97208644),
,Does the number of clubs that Gienir Garcia played for and the number of clubs that Lee Hyun-ju played for add up to a prime number?,TRUE,Lee Hyun-ju (Q115792726),
,Does the number of clubs that Gienir Garcia played for and the number of clubs that Lee Ki-joon played for add up to a prime number?,TRUE,Lee Ki-joon (Q125546072),
,Does the number of clubs that Gienir Garcia played for and the number of clubs that Koh Bong-jo played for add up to a prime number?,TRUE,Koh Bong-jo (Q126006234),
,Does the number of clubs that Gienir Garcia played for and the number of clubs that Baek In-Hwan played for add up to a prime number?,TRUE,Baek In-Hwan (Q130332960),
S90,Would Juan Cuda feel lost due to language barriers at Reggio Emilia?,FALSE,,
,Would Katsunori Onishi feel lost due to language barriers at Reggio Emilia?,FALSE,Katsunori Onishi (Q107982961),
,Would Yūko Nakamura feel lost due to language barriers at Reggio Emilia?,FALSE,Yūko Nakamura (Q8062749),
,Would Toshihiko Tokuo feel lost due to language barriers at Reggio Emilia?,FALSE,Toshihiko Tokuo (Q17221457),
,Would Hisanori Isomura feel lost due to language barriers at Reggio Emilia?,FALSE,Hisanori Isomura (Q11587994),
,Would Emiko Kubota feel lost due to language barriers at Reggio Emilia?,FALSE,Emiko Kubota (Q112259126),
,Would Yukari Saito feel lost due to language barriers at Reggio Emilia?,FALSE,Yukari Saito (Q11679069),
,Would Masumi Harada feel lost due to language barriers at Reggio Emilia?,FALSE,Masumi Harada (Q24238518),
,Would Guilherme Kuromoto feel lost due to language barriers at Reggio Emilia?,FALSE,Guilherme Kuromoto (Q3779569),
,Would Shun'ichi Ozawa feel lost due to language barriers at Reggio Emilia?,FALSE,Shun'ichi Ozawa (Q17686257),
,Would Taketo Gohara feel lost due to language barriers at Reggio Emilia?,FALSE,Taketo Gohara (Q7678169),
S91,Is Jang Na-ra from the same country as the director of Okja?,TRUE,,
,Is Jang Na-ra from the same country as the director of Duelist?,TRUE,Duelist (Q51734),
,Is Jang Na-ra from the same country as the director of No Blood No Tears?,TRUE,No Blood No Tears (Q279139),
,Is Jang Na-ra from the same country as the director of Bunshinsaba?,TRUE,Bunshinsaba (Q324183),
,Is Jang Na-ra from the same country as the director of Nightmare?,TRUE,Nightmare (Q387386),
,Is Jang Na-ra from the same country as the director of Thirst?,TRUE,Thirst (Q483780),
,Is Jang Na-ra from the same country as the director of Three... Extremes?,TRUE,Three... Extremes (Q484291),
,Is Jang Na-ra from the same country as the director of I'm a Cyborg,TRUE,"I'm a Cyborg, But That's OK (Q485677)",
,Is Jang Na-ra from the same country as the director of The Unjust?,TRUE,The Unjust (Q493391),
,Is Jang Na-ra from the same country as the director of Sympathy for Lady Vengeance?,TRUE,Sympathy for Lady Vengeance (Q495134),
,Is Jang Na-ra from the same country as the director of Arahan?,TRUE,Arahan (Q510456),
S92,Could Milla Jadot have received an official invitation from the Czechoslovakia government?,FALSE,,
,Could Mia Ristić have received an official invitation from the Czechoslovakia government?,FALSE,Mia Ristić (Q113958123),
,Could Savo Drezgić have received an official invitation from the Czechoslovakia government?,FALSE,Savo Drezgić (Q119855364),
,Could Andrija Maksimović have received an official invitation from the Czechoslovakia government?,FALSE,Andrija Maksimović (Q122260202),
,Could Veljko Vukojević have received an official invitation from the Czechoslovakia government?,FALSE,Veljko Vukojević (Q123150286),
,Could Maša Aleksić have received an official invitation from the Czechoslovakia government?,FALSE,Maša Aleksić (Q123358594),
,Could Uglješa Mihajlović have received an official invitation from the Czechoslovakia government?,FALSE,Uglješa Mihajlović (Q123358615),
,Could Vuk Draškić have received an official invitation from the Czechoslovakia government?,FALSE,Vuk Draškić (Q124290102),
,Could Adem Avdić have received an official invitation from the Czechoslovakia government?,FALSE,Adem Avdić (Q125386151),
,Could Irina Ognjević have received an official invitation from the Czechoslovakia government?,FALSE,Irina Ognjević (Q126210055),
,Could Justin Cvetkov have received an official invitation from the Czechoslovakia government?,FALSE,Justin Cvetkov (Q126766629),
S93,Is it likely for Johann Richmann to believe in Satan?,TRUE,,
,Is it likely for Katalin Surányi Réti to believe in Satan?,TRUE,Katalin Surányi Réti (Q113836994),
,Is it likely for Notker Hiegl to believe in Satan?,TRUE,Notker Hiegl (Q113766242),
,Is it likely for Peter Paul Kaspar to believe in Satan?,TRUE,Peter Paul Kaspar (Q1643369),
,Is it likely for Hellmut Bergmann to believe in Satan?,TRUE,Hellmut Bergmann (Q113749059),
,Is it likely for Anno Schulte-Herbrüggen to believe in Satan?,TRUE,Anno Schulte-Herbrüggen (Q113752479),
,Is it likely for Saskia Lerdon to believe in Satan?,TRUE,Saskia Lerdon (Q113759185),
,Is it likely for Gregor Schwimbersky to believe in Satan?,TRUE,Gregor Schwimbersky (Q113760430),
,Is it likely for Ignaz Steinwender to believe in Satan?,TRUE,Ignaz Steinwender (Q113762996),
,Is it likely for Christian Blankenstein to believe in Satan?,TRUE,Christian Blankenstein (Q113774126),
,Is it likely for Adolf Karlinger to believe in Satan?,TRUE,Adolf Karlinger (Q113796762),
S94,Is it likely for Lionel Lundell to have a mustache in 2024?,FALSE,,
,Is it likely for Lazlo Biggs to have a mustache in 2024?,FALSE,Lazlo Biggs (Q52159210),
,Is it likely for Takayuki Yamato to have a mustache in 2024?,FALSE,Takayuki Yamato (Q26042340),
,Is it likely for Eissa Al Mana to have a mustache in 2024?,FALSE,Eissa Al Mana (Q55091427),
,Is it likely for Caspar Pollen to have a mustache in 2024?,FALSE,Caspar Pollen (Q76335953),
,Is it likely for Hugo Troughton to have a mustache in 2024?,FALSE,Hugo Troughton (Q76320681),
,Is it likely for Alexander Stanley to have a mustache in 2024?,FALSE,Alexander Stanley (Q76320665),
,Is it likely for Jack Baillie-Hamilton to have a mustache in 2024?,FALSE,Jack Baillie-Hamilton (Q76346064),
,Is it likely for Asher James Mooney to have a mustache in 2024?,FALSE,Asher James Mooney (Q116536993),
,Is it likely for Freddie Miles to have a mustache in 2024?,FALSE,Freddie Miles (Q76307944),
,Is it likely for Oswald Gerrish to have a mustache in 2024?,FALSE,Oswald Gerrish (Q76372363),
S95,Could an IKCO Samand make a vlog on its own?,FALSE,,
,Could a Wolseley Wasp make a vlog on its own?,FALSE,Wolseley Wasp (Q794265),
,Could a Proton Savvy make a vlog on its own?,FALSE,Proton Savvy (Q772166),
,Could a Mitsuoka Viewt make a vlog on its own?,FALSE,Mitsuoka Viewt (Q873299),
,Could a Bertone Novanta make a vlog on its own?,FALSE,Bertone Novanta (Q828396),
,Could a HSV Senator make a vlog on its own?,FALSE,HSV Senator (Q946517),
,Could a Brilliance BS4 make a vlog on its own?,FALSE,Brilliance BS4 (Q917171),
,Could a Holden Camira make a vlog on its own?,FALSE,Holden Camira (Q915531),
,Could an Anadol make a vlog on its own?,FALSE,Anadol (Q1814507),
,Could a Morris Ten make a vlog on its own?,FALSE,Morris Ten (Q1948539),
,Could a Riley Kestrel make a vlog on its own?,FALSE,Riley Kestrel (Q2153086),
S96,Is it likely for Adrian Rochet to skip celebrating Easter?,TRUE,,
,Is it likely for Yisroel Dovid Weiss to skip celebrating Easter?,TRUE,Yisroel Dovid Weiss (Q1837485),
,Is it likely for Sarmad Kashani to skip celebrating Easter?,TRUE,Sarmad Kashani (Q2916030),
,Is it likely for Menahem Shemuel Halevy to skip celebrating Easter?,TRUE,Menahem Shemuel Halevy (Q15983651),
,Is it likely for Uriel Davidi to skip celebrating Easter?,TRUE,Uriel Davidi (Q7900591),
,Is it likely for Habib Elghanian to skip celebrating Easter?,TRUE,Habib Elghanian (Q3490187),
,Is it likely for Benjamin Nahawandi to skip celebrating Easter?,TRUE,Benjamin Nahawandi (Q282231),
,Is it likely for Yedidia Shofet to skip celebrating Easter?,TRUE,Yedidia Shofet (Q2903425),
,Is it likely for Jack Mahfar to skip celebrating Easter?,TRUE,Jack Mahfar (Q21847033),
,Is it likely for Marjan Faritous to skip celebrating Easter?,TRUE,Marjan Faritous (Q16467612),
,Is it likely for Younes Hamami to skip celebrating Easter?,TRUE,Younes Hamami (Q38285446),
S97,Would the top of the Dome of Soltaniyeh be visible if you submerge it in Urmia lake?,TRUE,,
,Would the top of the Dome of Soltaniyeh be visible if you submerge it in Lūkstas?,TRUE,Lūkstas (Q3491474),
,Would the top of the Dome of Soltaniyeh be visible if you submerge it in Lac Blanc?,TRUE,Lac Blanc (Q3214753),
,Would the top of the Dome of Soltaniyeh be visible if you submerge it in Lake Pabra?,TRUE,Lake Pabra (Q6809413),
,Would the top of the Dome of Soltaniyeh be visible if you submerge it in Lieps?,TRUE,Lieps (Q80473),
,Would the top of the Dome of Soltaniyeh be visible if you submerge it in Paku,TRUE,Pakuļezers (Q15219483),
,Would the top of the Dome of Soltaniyeh be visible if you submerge it in Vilgāles ezers?,TRUE,Vilgāles ezers (Q15220024),
,Would the top of the Dome of Soltaniyeh be visible if you submerge it in Uglovoy Bay?,TRUE,Uglovoy Bay (Q4468977),
,Would the top of the Dome of Soltaniyeh be visible if you submerge it in Langstiņu Ezers?,TRUE,Langstiņu Ezers (Q15219224),
,Would the top of the Dome of Soltaniyeh be visible if you submerge it in Judarn?,TRUE,Judarn (Q7348445),
,Would the top of the Dome of Soltaniyeh be visible if you submerge it in Stropu ezers?,TRUE,Stropu ezers (Q4092455),
S98,Is Geats Extra: Kamen Rider PunkJack a standalone movie?,FALSE,,
,Is Reincarnation a standalone movie?,FALSE,Reincarnation (Q4048157),
,Is The Bots and the Bees a standalone movie?,FALSE,The Bots and the Bees (Q4050986),
,Is Meanwhile a standalone movie?,FALSE,Meanwhile (Q15052062),
,Is Naturama a standalone movie?,FALSE,Naturama (Q6980843),
,Is Hell Is Other Robots a standalone movie?,FALSE,Hell Is Other Robots (Q471074),
,Is A Bicyclops Built for Two a standalone movie?,FALSE,A Bicyclops Built for Two (Q1578264),
,Is A Clone of My Own a standalone movie?,FALSE,A Clone of My Own (Q1994018),
,Is Bender Gets Made a standalone movie?,FALSE,Bender Gets Made (Q1994128),
,Is Raging Bender a standalone movie?,FALSE,Raging Bender (Q1993958),
,Is Lethal Inspection a standalone movie?,FALSE,Lethal Inspection (Q2079218),
S99,Is it likely for Lionel Lundell to ride a bike with extra wheels in 2024?,TRUE,,
,Is it likely for Anna Katalin Orbán to ride a bike with extra wheels in 2024?,TRUE,Anna Katalin Orbán (Q106928607),
,Is it likely for Sienna Mapelli Mozzi to ride a bike with extra wheels in 2024?,TRUE,Sienna Mapelli Mozzi (Q108703114),
,Is it likely for Jupiter Iris French to ride a bike with extra wheels in 2024?,TRUE,Jupiter Iris French (Q112968371),
,Is it likely for Korra Aiza to ride a bike with extra wheels in 2024?,TRUE,Korra Aiza (Q106734358),
,Is it likely for Samantha Esmail to ride a bike with extra wheels in 2024?,TRUE,Samantha Esmail (Q107065235),
,Is it likely for Mark Fassbender to ride a bike with extra wheels in 2024?,TRUE,Mark Fassbender (Q110818222),
,Is it likely for Riley Sabara to ride a bike with extra wheels in 2024?,TRUE,Riley Sabara (Q116505304),
,Is it likely for Dakota Song Culkin to ride a bike with extra wheels in 2024?,TRUE,Dakota Song Culkin (Q106503804),
,Is it likely for Asher William Pryce to ride a bike with extra wheels in 2024?,TRUE,Asher William Pryce (Q109768076),
,Is it likely for Thomas Greenberg to ride a bike with extra wheels in 2024?,TRUE,Thomas Greenberg (Q111016965),
S100,Would most people in New York be wearing jackets on Rajyavardhan Rathore’s birthday?,TRUE,,
,Would most people in New York be wearing jackets on Josef Pléha’s birthday?,TRUE,Josef Pléha (Q95451549),
,Would most people in New York be wearing jackets on Harue Yamasaki’s birthday?,TRUE,Harue Yamasaki (Q106479386),
,Would most people in New York be wearing jackets on Jerry Taihuttu’s birthday?,TRUE,Jerry Taihuttu (Q2071920),
,Would most people in New York be wearing jackets on Mark Wright’s birthday?,TRUE,Mark Wright (Q6770440),
,Would most people in New York be wearing jackets on John Forbes’s birthday?,TRUE,John Forbes (Q6233590),
,Would most people in New York be wearing jackets on Heike Meißner’s birthday?,TRUE,Heike Meißner (Q273194),
,Would most people in New York be wearing jackets on Kei Uzaki’s birthday?,TRUE,Kei Uzaki (Q11449400),
,Would most people in New York be wearing jackets on Yū Kirishima’s birthday?,TRUE,Yū Kirishima (Q11537229),
,Would most people in New York be wearing jackets on Juliet Conlin’s birthday?,TRUE,Juliet Conlin (Q107288370),
,Would most people in New York be wearing jackets on Nirwan Nazaruddin’s birthday?,TRUE,Nirwan Nazaruddin (Q108895001),
S101,Could Ibn al-Muqaffa' have studied railroad engineering?,FALSE,,
,Could Mehmed Bey have studied railroad engineering?,FALSE,Mehmed Bey (Q2002115),
,Could Ali Hariri have studied railroad engineering?,FALSE,Ali Hariri (Q3672870),
,Could Battal Gazi have studied railroad engineering?,FALSE,Battal Gazi (Q352212),
,Could Mustafa Sheykhoghlu have studied railroad engineering?,FALSE,Mustafa Sheykhoghlu (Q428705),
,Could Suleyman Çelebi have studied railroad engineering?,FALSE,Suleyman Çelebi (Q637541),
,Could Ahterî have studied railroad engineering?,FALSE,Ahterî (Q21600909),
,Could Mehmed Siroco have studied railroad engineering?,FALSE,Mehmed Siroco (Q3853988),
,Could İbrahim Gülşeni have studied railroad engineering?,FALSE,İbrahim Gülşeni (Q6455376),
,Could Beligh Ismail have studied railroad engineering?,FALSE,Beligh Ismail (Q11908925),
,Could Neşâtî have studied railroad engineering?,FALSE,Neşâtî (Q3564095),
S102,Is it likely to find mooncakes in the birthplace of Ian Barbour?,TRUE,,
,Is it likely to find mooncakes in the birthplace of David Huang?,TRUE,David Huang (Q23915103),
,Is it likely to find mooncakes in the birthplace of George Price Hays?,TRUE,George Price Hays (Q5543546),
,Is it likely to find mooncakes in the birthplace of Douglas T. Ross?,TRUE,Douglas T. Ross (Q5302019),
,Is it likely to find mooncakes in the birthplace of Edham Mamet?,TRUE,Edham Mamet (Q5337971),
,Is it likely to find mooncakes in the birthplace of Sophia Lyon Fahs?,TRUE,Sophia Lyon Fahs (Q7562897),
,Is it likely to find mooncakes in the birthplace of Steve Gee?,TRUE,Steve Gee (Q26209400),
,Is it likely to find mooncakes in the birthplace of Joseph Han Zhihai?,TRUE,Joseph Han Zhihai (Q11979334),
,Is it likely to find mooncakes in the birthplace of Ma Sufen?,TRUE,Ma Sufen (Q19605407),
,Is it likely to find mooncakes in the birthplace of Guo Lianwen?,TRUE,Guo Lianwen (Q15733241),
,Is it likely to find mooncakes in the birthplace of John Harry Robertson?,TRUE,John Harry Robertson (Q56225968),
S103,Could Mahmud of Ghazni have been at the execution of Mansur Al-Hallaj?,FALSE,,
,Could Narsieh have been at the execution of Mansur Al-Hallaj?,FALSE,Narsieh (Q860075),
,Could Tritantaechmes have been at the execution of Mansur Al-Hallaj?,FALSE,Tritantaechmes (Q3675450),
,Could Gurak have been at the execution of Mansur Al-Hallaj?,FALSE,Gurak (Q16199255),
,Could Sunpadh have been at the execution of Mansur Al-Hallaj?,FALSE,Sunpadh (Q3775626),
,Could Jurjīs ibn Bukhtīshūʿ have been at the execution of Mansur Al-Hallaj?,FALSE,Jurjīs ibn Bukhtīshūʿ (Q5703545),
,Could Urtak have been at the execution of Mansur Al-Hallaj?,FALSE,Urtak (Q888042),
,Could Mihr Mardan have been at the execution of Mansur Al-Hallaj?,FALSE,Mihr Mardan (Q16863981),
,Could Youtab have been at the execution of Mansur Al-Hallaj?,FALSE,Youtab (Q8059129),
,Could Tarkhun have been at the execution of Mansur Al-Hallaj?,FALSE,Tarkhun (Q16863986),
,Could Bamshad have been at the execution of Mansur Al-Hallaj?,FALSE,Bamshad (Q4853546),
S104,Could Kim Dae-jung form a polo team from his children?,FALSE,,
,Could Nader Golchin form a polo team from his children?,FALSE,Nader Golchin (Q5958430),
,Could Shirvanshah Kavus form a polo team from his children?,FALSE,Shirvanshah Kavus (Q7499029),
,Could Parisa Bakhtavar form a polo team from her children?,FALSE,Parisa Bakhtavar (Q7137400),
,Could Masoud Jafari Jozani form a polo team from his children?,FALSE,Masoud Jafari Jozani (Q6783877),
,Could Rashid Yasemi form a polo team from his children?,FALSE,Rashid Yasemi (Q10289676),
,Could Reza Rousta form a polo team from his children?,FALSE,Reza Rousta (Q12015962),
,Could Nosrat Karimi form a polo team from his children?,FALSE,Nosrat Karimi (Q3344360),
,Could Abu al-Hasan Ali form a polo team from his children?,FALSE,Abu al-Hasan Ali (Q4670444),
,Could Firouzeh Vokhshouri form a polo team from her children?,FALSE,Firouzeh Vokhshouri (Q4485038),
,Could Pariyoush Ganji form a polo team from her children?,FALSE,Pariyoush Ganji (Q5954920),
S105,Could an escapee swim nonstop from Kfarfou to Bezenjan?,FALSE,,
,Could an escapee swim nonstop from Mehdiyeh to Bezenjan?,FALSE,Mehdiyeh (Q3853983),
,Could an escapee swim nonstop from Dastna to Bezenjan?,FALSE,Dastna (Q4159603),
,Could an escapee swim nonstop from Tasuj to Bezenjan?,FALSE,Tasuj (Q16901264),
,Could an escapee swim nonstop from Yusefabad to Bezenjan?,FALSE,Yusefabad (Q16727067),
