ID,Modified Question,Answer,
,István Holló had likely learned the knowledge required to design suspension bridges.,TRUE,István Holló (Q12349471)
,Lajos Tavy had likely learned the knowledge required to design suspension bridges.,TRUE,Lajos Tavy (Q12351377)
,Luis Segura Vilchis had likely learned the knowledge required to design suspension bridges.,TRUE,Luis Segura Vilchis (Q5984335)
C55,Konrad Banaszek made a living by fixing a lot of cars.,FALSE,
,Meghha Vakaria made a living by fixing a lot of cars.,FALSE,Meghha Vakaria (Q106613059)
,Karan Singh made a living by fixing a lot of cars.,FALSE,Karan Singh (Q130817427)
,Malikaa Marathe made a living by fixing a lot of cars.,FALSE,Malikaa Marathe (Q63191311)
,Zeeshan Ali made a living by fixing a lot of cars.,FALSE,Zeeshan Ali (Q184419)
,Manas Dhamne made a living by fixing a lot of cars.,FALSE,Manas Dhamne (Q116186767)
,Akhtar Ali made a living by fixing a lot of cars.,FALSE,Akhtar Ali (Q4700801)
,Vidisha Baliyan made a living by fixing a lot of cars.,FALSE,Vidisha Baliyan (Q66771295)
,Akanksha Dileep Nitture made a living by fixing a lot of cars.,FALSE,Akanksha Dileep Nitture (Q106288085)
,Ramanathan Krishnan made a living by fixing a lot of cars.,FALSE,Ramanathan Krishnan (Q1559952)
,Asif Ismail made a living by fixing a lot of cars.,FALSE,Asif Ismail (Q4806913)
C56,Nancy Makri performs in various concerts around the world.,FALSE,
,Mahmoud Ghandi performs in various concerts around the world.,FALSE,Mahmoud Ghandi (Q5947848)
,Mohammad Heidar Khamsehei Fadaei performs in various concerts around the world.,FALSE,Mohammad Heidar Khamsehei Fadaei (Q105554314)
,Homayoon Kazerooni performs in various concerts around the world.,FALSE,Homayoon Kazerooni (Q5887797)
,Mehdi Bahadori performs in various concerts around the world.,FALSE,Mehdi Bahadori (Q6809279)
,Morteza Gharib performs in various concerts around the world.,FALSE,Morteza Gharib (Q25424531)
,Rahmat Shoureshi performs in various concerts around the world.,FALSE,Rahmat Shoureshi (Q22088605)
,Mohammad-Hossein Moghimi performs in various concerts around the world.,FALSE,Mohammad-Hossein Moghimi (Q5940268)
,Saeed Sohrabpour performs in various concerts around the world.,FALSE,Saeed Sohrabpour (Q7398252)
,Hamid Ahmadian performs in various concerts around the world.,FALSE,Hamid Ahmadian (Q129406367)
,Davood Domiri Ganji performs in various concerts around the world.,FALSE,Davood Domiri Ganji (Q5954258)
C57,"Peter Brimelow would support the ""black lives matter"".",FALSE,
,"John Tyndall would support the ""black lives matter"".",FALSE,John Tyndall (Q2749419)
,"Roger Pearson would support the ""black lives matter"".",FALSE,Roger Pearson (Q3307867)
,"Virginia Kapić would support the ""black lives matter"".",FALSE,Virginia Kapić (Q2146244)
,"Robert Charroux would support the ""black lives matter"".",FALSE,Robert Charroux (Q349061)
,"Daniel Conversano would support the ""black lives matter"".",FALSE,Daniel Conversano (Q67404073)
,"A. Wyatt Mann would support the ""black lives matter"".",FALSE,A. Wyatt Mann (Q63865520)
,"Saga would support the ""black lives matter"".",FALSE,Saga (Q2591076)
,"Laura Loomer would support the ""black lives matter"".",FALSE,Laura Loomer (Q30322608)
,"Robert Charroux would support the ""black lives matter"".",FALSE,Robert Charroux (Q349061)
,"Garrett Hardin would support the ""black lives matter"".",FALSE,Garrett Hardin (Q592132)
C58,Marc de Cacqueray-Valménier has won awards for his work as a director.,FALSE,
,Aleksandr Lobanov has won awards for his work as a director.,FALSE,Aleksandr Lobanov (Q10554945)
,Diyorakhon Khabibullaeva has won awards for his work as a director.,FALSE,Diyorakhon Khabibullaeva (Q95748384)
,Rushaniya Safina has won awards for his work as a director.,FALSE,Rushaniya Safina (Q95748256)
,Kamron Habibullah has won awards for his work as a director.,FALSE,Kamron Habibullah (Q106687738)
,Laylo Tilovova has won awards for his work as a director.,FALSE,Laylo Tilovova (Q95895848)
,Vadim Lyubushin has won awards for his work as a director.,FALSE,Vadim Lyubushin (Q97170776)
,Gulzoda Amirova has won awards for his work as a director.,FALSE,Gulzoda Amirova (Q96337412)
,Feruza Bobokhujaeva has won awards for his work as a director.,FALSE,Feruza Bobokhujaeva (Q96337714)
,Boris Bakanov has won awards for his work as a director.,FALSE,Boris Bakanov (Q97379448)
,Khojimat Erkinov has won awards for his work as a director.,FALSE,Khojimat Erkinov (Q98884068)
C59,Victor Mermelstein treated people in Israel.,TRUE,
,Binyamin Maoz treated people in Israel.,TRUE,Binyamin Maoz (Q216556)
,Arad Nir treated people in Israel.,TRUE,Arad Nir (Q6623879)
,Oded Abramsky treated people in Israel.,TRUE,Oded Abramsky (Q6915869)
,Hagay Shemesh treated people in Israel.,TRUE,Hagay Shemesh (Q59754126)
,Hagai Bergman treated people in Israel.,TRUE,Hagai Bergman (Q6492179)
,Ilan Rabinovich treated people in Israel.,TRUE,Ilan Rabinovich (Q12403794)
,Jean-Jacques Askenasy treated people in Israel.,TRUE,Jean-Jacques Askenasy (Q12731327)
,Heinz Hermann treated people in Israel.,TRUE,Heinz Hermann (Q16133217)
,Max Marcus treated people in Israel.,TRUE,Max Marcus (Q6967496)
,Chen Kugel treated people in Israel.,TRUE,Chen Kugel (Q7030163)
C60,Javier Milei is likely to live in Argentina during 2025.,TRUE,
,Keb Chutema is likely to live in Cambodia during 2025.,TRUE,"Keb Chutema (Q3194577), Cambodia"
,Cham Prasidh is likely to live in Cambodia during 2025.,TRUE,"Cham Prasidh (Q5069253), Cambodia"
,Duong Vanna is likely to live in Cambodia during 2025.,TRUE,"Duong Vanna (Q5315890), Cambodia"
,Hong Sun Huot is likely to live in Cambodia during 2025.,TRUE,"Hong Sun Huot (Q5895678), Cambodia"
,Jesús Guerrero Arroyo is likely to live in Spain during 2025.,TRUE,"Jesús Guerrero Arroyo (Q111525356), Spain"
,Monh Saphan is likely to live in Cambodia during 2025.,TRUE,"Monh Saphan (Q6899830), Cambodia"
,Manuel Garcia Martinez is likely to live in Spain during 2025.,TRUE,"Manuel Garcia Martinez (Q14087381), Spain"
,Therence Sinunguruza is likely to live in Burundi during 2025.,TRUE,"Therence Sinunguruza (Q3527314), Burundi"
,Khun Haing is likely to live in Cambodia during 2025.,TRUE,"Khun Haing (Q6402973), Cambodia"
,Ly Son is likely to live in Cambodia during 2025.,TRUE,"Ly Son (Q6707006), Cambodia"
C61,Árpád Klatsmányi was likely to be aware of the second law of thermodynamics.,TRUE,
,Mahmoud Ghandi was likely to be aware of the second law of thermodynamics.,TRUE,Mahmoud Ghandi (Q5947848)
,Mohammad Heidar Khamsehei Fadaei was likely to be aware of the second law of thermodynamics.,TRUE,Mohammad Heidar Khamsehei Fadaei (Q105554314)
,Homayoon Kazerooni was likely to be aware of the second law of thermodynamics.,TRUE,Homayoon Kazerooni (Q5887797)
,Mehdi Bahadori was likely to be aware of the second law of thermodynamics.,TRUE,Mehdi Bahadori (Q6809279)
,Morteza Gharib was likely to be aware of the second law of thermodynamics.,TRUE,Morteza Gharib (Q25424531)
,Rahmat Shoureshi was likely to be aware of the second law of thermodynamics.,TRUE,Rahmat Shoureshi (Q22088605)
,Mohammad-Hossein Moghimi was likely to be aware of the second law of thermodynamics.,TRUE,Mohammad-Hossein Moghimi (Q5940268)
,Saeed Sohrabpour was likely to be aware of the second law of thermodynamics.,TRUE,Saeed Sohrabpour (Q7398252)
,Hamid Ahmadian was likely to be aware of the second law of thermodynamics.,TRUE,Hamid Ahmadian (Q129406367)
,Davood Domiri Ganji was likely to be aware of the second law of thermodynamics.,TRUE,Davood Domiri Ganji (Q5954258)
C62,Persian Constitutional Revolution inspired the Shinpūren Rebellion.,FALSE,
,Persian Constitutional Revolution inspired the Tyrolean Rebellion.,FALSE,Tyrolean Rebellion (Q664364)
,Persian Constitutional Revolution inspired the Satsuma Rebellion.,FALSE,Satsuma Rebellion (Q714820)
,Persian Constitutional Revolution inspired the Chichibu Incident.,FALSE,Chichibu Incident (Q3078148)
,Persian Constitutional Revolution inspired the Shōchō uprising.,FALSE,Shōchō uprising (Q7499812)
,Persian Constitutional Revolution inspired the Greengrocers' Mutiny.,FALSE,Greengrocers' Mutiny (Q61112816)
,Persian Constitutional Revolution inspired the Pugachev's Rebellion.,FALSE,Pugachev's Rebellion (Q154100)
,Persian Constitutional Revolution inspired the Săbăoani uprising.,FALSE,Săbăoani uprising (Q107310646)
,Persian Constitutional Revolution inspired the Malê Revolt.,FALSE,Malê Revolt (Q6745211)
,Persian Constitutional Revolution inspired the Uprising of Santa Cruz de Mudela.,FALSE,Uprising of Santa Cruz de Mudela (Q17028626)
,Persian Constitutional Revolution inspired the Kakitsu uprising.,FALSE,Kakitsu uprising (Q11419378)
C63,Elvíra Němečková had to use her body to perform her job.,TRUE,
,Takako Kobayashi had to use her body to perform her job.,TRUE,Takako Kobayashi (Q11461898)
,Mari Suzuki had to use her body to perform her job.,TRUE,Mari Suzuki (Q24874265)
,Yuki Hashimoto had to use her body to perform her job.,TRUE,Yuki Hashimoto (Q11543844)
,Akari Omori had to use her body to perform her job.,TRUE,Akari Omori (Q115529924)
,Maya Segawa had to use her body to perform her job.,TRUE,Maya Segawa (Q59134916)
,Yoko Tanabe had to use her body to perform her job.,TRUE,Yoko Tanabe (Q3078883)
,Noriko Fujimoto had to use her body to perform her job.,TRUE,Noriko Fujimoto (Q28688096)
,Chihiro Takahashi had to use her body to perform her job.,TRUE,Chihiro Takahashi (Q30126147)
,Aiko Sato had to use her body to perform her job.,TRUE,Aiko Sato (Q2827923)
,Nana Kōta had to use her body to perform her job.,TRUE,Nana Kōta (Q65266815)
C64,Léocadie Gascoin considered her job as being holy.,TRUE,
,Ryōnen Gensō considered her job as being holy.,TRUE,Ryōnen Gensō (Q52418652)
,Abutsu-ni considered her job as being holy.,TRUE,Abutsu-ni (Q336103)
,Taira no Tokiko considered her job as being holy.,TRUE,Taira no Tokiko (Q3379244)
,Fuku Okumura considered her job as being holy.,TRUE,Fuku Okumura (Q68185190)
,Richū-joō considered her job as being holy.,TRUE,Richū-joō (Q10420536)
,Kawamura Myōkei considered her job as being holy.,TRUE,Kawamura Myōkei (Q6605179)
,Kazuko Watanabe considered her job as being holy.,TRUE,Kazuko Watanabe (Q11562141)
,Junsho-in considered her job as being holy.,TRUE,Junsho-in (Q5362031)
,Takatsukasa Seigyoku considered her job as being holy.,TRUE,Takatsukasa Seigyoku (Q7140538)
,Hōjō Masako considered her job as being holy.,TRUE,Hōjō Masako (Q463961)
C65,The Dome of Soltaniyeh stands taller than the Alaviyan Dome.,TRUE,
,The Dome of Soltaniyeh stands taller than the Kyoto Daibutsu.,TRUE,Kyoto Daibutsu (Q11374178)
,The Dome of Soltaniyeh stands taller than the Sheikh Lotfollah Mosque.,TRUE,Sheikh Lotfollah Mosque (Q856356)
,The Dome of Soltaniyeh stands taller than the Jameh Mosque of Varamin.,TRUE,Jameh Mosque of Varamin (Q3445267)
,The Dome of Soltaniyeh stands taller than the Imamzadeh Harun-e Velayat.,TRUE,Imamzadeh Harun-e Velayat (Q5860687)
,The Dome of Soltaniyeh stands taller than the Gonbad-e Ali.,TRUE,Gonbad-e Ali (Q5714004)
,The Dome of Soltaniyeh stands taller than the Pir-e Alamdar Tower.,TRUE,Pir-e Alamdar Tower (Q5936789)
,The Dome of Soltaniyeh stands taller than the Jusheqan-e Estark Icehouse.,TRUE,Jusheqan-e Estark Icehouse (Q113488645)
,The Dome of Soltaniyeh stands taller than the Jazīreh-ye Hengām Lighthouse.,TRUE,Jazīreh-ye Hengām Lighthouse (Q106311899)
,The Dome of Soltaniyeh stands taller than the Colossal Statue of Shapur I.,TRUE,Colossal Statue of Shapur I (Q1301214)
,The Dome of Soltaniyeh stands taller than the Darya Dowlat Ab Anbar.,TRUE,Darya Dowlat Ab Anbar (Q5704663)
C66,Vladimer Chanturia's occupation involves violent fighting.,TRUE,
,Akhangaran Tower's occupation involves violent fighting.,TRUE,Akhangan Tower (Q5868671)
,Pir Bakran Mausoleum's occupation involves violent fighting.,TRUE,Pir Bakran Mausoleum (Q5869527)
,Haji Ibrahimi Ab Anbar's occupation involves violent fighting.,TRUE,Haji Ibrahimi Ab Anbar (Q5881873)
,Molla David Synagogue's occupation involves violent fighting.,TRUE,Molla David Synagogue (Q5891484)
,Nurabad Tower's occupation involves violent fighting.,TRUE,Nurabad Tower (Q5950677)
,Old Toroq Dam's occupation involves violent fighting.,TRUE,Old Toroq Dam (Q94093642)
,Sarhang Iraj House's occupation involves violent fighting.,TRUE,Sarhang Iraj House (Q42633505)
,Jameh Mosque of Natanz's occupation involves violent fighting.,TRUE,Jameh Mosque of Natanz (Q12641567)
,Imamzadeh Ghiyas al-Din's occupation involves violent fighting.,TRUE,Imamzadeh Ghiyas al-Din (Q42623819)
,Pir-e Shabib Gate's occupation involves violent fighting.,TRUE,Pir-e Shabib Gate (Q5888712)
C67,Lorca Spiti is likely to not believe in god.,FALSE,
,Abdelkhader Houamel is likely to not believe in god.,FALSE,Abdelkhader Houamel (Q2821110)
,Leda Rafanelli is likely to not believe in god.,FALSE,Leda Rafanelli (Q3829348)
,Gabriele Torsello is likely to not believe in god.,FALSE,Gabriele Torsello (Q3756689)
,Mario Scialoja is likely to not believe in god.,FALSE,Mario Scialoja (Q6764962)
,Pietrangelo Buttafuoco is likely to not believe in god.,FALSE,Pietrangelo Buttafuoco (Q3903586)
,Francesca Bocca-Aldaqre is likely to not believe in god.,FALSE,Francesca Bocca-Aldaqre (Q73106362)
,Adnane Mokrani is likely to not believe in god.,FALSE,Adnane Mokrani (Q15781491)
,Felix Sturm is likely to not believe in god.,FALSE,Felix Sturm (Q77343)
,Mario Rossi is likely to not believe in god.,FALSE,Mario Rossi (Q104834437)
,Kristiane Backer is likely to not believe in god.,FALSE,Kristiane Backer (Q75867)
C68,Sara Al-Hani is likely to believe in Trinity.,FALSE,
,Abdelkhader Houamel is likely to believe in Trinity.,FALSE,Abdelkhader Houamel (Q2821110)
,Leda Rafanelli is likely to believe in Trinity.,FALSE,Leda Rafanelli (Q3829348)
,Gabriele Torsello is likely to believe in Trinity.,FALSE,Gabriele Torsello (Q3756689)
,Mario Scialoja is likely to believe in Trinity.,FALSE,Mario Scialoja (Q6764962)
,Pietrangelo Buttafuoco is likely to believe in Trinity.,FALSE,Pietrangelo Buttafuoco (Q3903586)
,Francesca Bocca-Aldaqre is likely to believe in Trinity.,FALSE,Francesca Bocca-Aldaqre (Q73106362)
,Adnane Mokrani is likely to believe in Trinity.,FALSE,Adnane Mokrani (Q15781491)
,Felix Sturm is likely to believe in Trinity.,FALSE,Felix Sturm (Q77343)
,Mario Rossi is likely to believe in Trinity.,FALSE,Mario Rossi (Q104834437)
,Kristiane Backer is likely to believe in Trinity.,FALSE,Kristiane Backer (Q75867)
C69,Brakes of the HSV Senator make it go faster.,FALSE,
,SMS Novara make it go faster.,FALSE,SMS Novara (Q665325)
,SMS Frankfurt make it go faster.,FALSE,SMS Frankfurt (Q833582)
,Edgar Quinet make it go faster.,FALSE,Edgar Quinet (Q964988)
,SMS Mainz make it go faster.,FALSE,SMS Mainz (Q535014)
,HMS Hyacinth make it go faster.,FALSE,HMS Hyacinth (Q2578016)
,HMS Cambrian make it go faster.,FALSE,HMS Cambrian (Q1564469)
,HMS Flora make it go faster.,FALSE,HMS Flora (Q5632445)
,SMS Condor make it go faster.,FALSE,SMS Condor (Q2206808)
,SMS Cöln make it go faster.,FALSE,SMS Cöln (Q540425)
,HMAS Canberra make it go faster.,FALSE,HMAS Canberra (Q1303961)
C70,Tawfiq-e-Elahi Chowdhury needs significant physical abilities to be able to do his job.,FALSE,
,Reza Taghipour needs significant physical abilities to be able to do his job.,FALSE,Reza Taghipour (Q4392343)
,Davud Monshizadeh needs significant physical abilities to be able to do his job.,FALSE,Davud Monshizadeh (Q5242146)
,Masud Gharahkhani needs significant physical abilities to be able to do his job.,FALSE,Masud Gharahkhani (Q5273847)
,Emadeddin Baghi needs significant physical abilities to be able to do his job.,FALSE,Emadeddin Baghi (Q5368789)
,Esmail Shooshtari needs significant physical abilities to be able to do his job.,FALSE,Esmail Shooshtari (Q5398413)
,Ezzat Ebrahim-Nejad needs significant physical abilities to be able to do his job.,FALSE,Ezzat Ebrahim-Nejad (Q5423459)
,Farhang Mehr needs significant physical abilities to be able to do his job.,FALSE,Farhang Mehr (Q5435179)
,Farideh Mashini needs significant physical abilities to be able to do his job.,FALSE,Farideh Mashini (Q5435290)
,Ateghe Sediqi needs significant physical abilities to be able to do his job.,FALSE,Ateghe Sediqi (Q16050469)
,Jalal Jalalizadeh needs significant physical abilities to be able to do his job.,FALSE,Jalal Jalalizadeh (Q4518829)
C71,Mina Ahadi is likely to celebrate Lent.,FALSE,
,Abdelkhader Houamel is likely to celebrate Lent.,FALSE,Abdelkhader Houamel (Q2821110)
,Leda Rafanelli is likely to celebrate Lent.,FALSE,Leda Rafanelli (Q3829348)
,Gabriele Torsello is likely to celebrate Lent.,FALSE,Gabriele Torsello (Q3756689)
,Mario Scialoja is likely to celebrate Lent.,FALSE,Mario Scialoja (Q6764962)
,Pietrangelo Buttafuoco is likely to celebrate Lent.,FALSE,Pietrangelo Buttafuoco (Q3903586)
,Francesca Bocca-Aldaqre is likely to celebrate Lent.,FALSE,Francesca Bocca-Aldaqre (Q73106362)
,Adnane Mokrani is likely to celebrate Lent.,FALSE,Adnane Mokrani (Q15781491)
,Felix Sturm is likely to celebrate Lent.,FALSE,Felix Sturm (Q77343)
,Mario Rossi is likely to celebrate Lent.,FALSE,Mario Rossi (Q104834437)
,Kristiane Backer is likely to celebrate Lent.,FALSE,Kristiane Backer (Q75867)
C72,Jazmine Rowe is unlikely to be experiencing menopause in 2023.,TRUE,
,Kim Ju-ae is unlikely to be experiencing menopause in 2023.,TRUE,Kim Ju-ae (Q14864448)
,India Casiraghi is unlikely to be experiencing menopause in 2023.,TRUE,India Casiraghi (Q24851606)
,Vivienne MacArthur is unlikely to be experiencing menopause in 2023.,TRUE,Vivienne MacArthur (Q18819287)
,Kim Dan-woo is unlikely to be experiencing menopause in 2023.,TRUE,Kim Dan-woo (Q31178783)
,Soraya Ingram is unlikely to be experiencing menopause in 2023.,TRUE,Soraya Ingram (Q37818283)
,Alexandra de Plumpton Hunter is unlikely to be experiencing menopause in 2023.,TRUE,Alexandra de Plumpton Hunter (Q75817419)
,Giuletta Aitken is unlikely to be experiencing menopause in 2023.,TRUE,Giuletta Aitken (Q76080801)
,Aubrey Lila Munroe is unlikely to be experiencing menopause in 2023.,TRUE,Aubrey Lila Munroe (Q76105099)
,Clara Baring is unlikely to be experiencing menopause in 2023.,TRUE,Clara Baring (Q76120229)
,India Harding-Newman is unlikely to be experiencing menopause in 2023.,TRUE,India Harding-Newman (Q76241699)
C73,Natalie Kratenova is likely to have a uterus.,TRUE,
,Saengsavanh Sihalard is likely to have a uterus.,TRUE,Saengsavanh Sihalard (Q65447707)
,Silina Pha Aphay is likely to have a uterus.,TRUE,Silina Pha Aphay (Q107647164)
,Mattie Do is likely to have a uterus.,TRUE,Mattie Do (Q17047885)
,Phongsamouth Anlavan is likely to have a uterus.,TRUE,Phongsamouth Anlavan (Q107542486)
,Latxomphou Oday is likely to have a uterus.,TRUE,Latxomphou Oday (Q16570947)
,Sirivanh Ketavong is likely to have a uterus.,TRUE,Sirivanh Ketavong (Q7530434)
,Moukdavanyh Santiphone is likely to have a uterus.,TRUE,Moukdavanyh Santiphone (Q19697234)
,Vilayphone Vongphachanh is likely to have a uterus.,TRUE,Vilayphone Vongphachanh (Q3378106)
,Niane Sivongxay is likely to have a uterus.,TRUE,Niane Sivongxay (Q26224862)
,Soumaly Phinith is likely to have a uterus.,TRUE,Soumaly Phinith (Q16605287)
C74,María Subíes Forcada's home country was among the allied powers.,FALSE,
,Fausto García Hegardt's home country was among the allied powers.,FALSE,Fausto García Hegardt (Q65465094)
,Mertxe de Renobales's home country was among the allied powers.,FALSE,Mertxe de Renobales (Q87144486)
,Pedro Beteta López's home country was among the allied powers.,FALSE,Pedro Beteta López (Q109429889)
,Benigno Lorenzo Velázquez's home country was among the allied powers.,FALSE,Benigno Lorenzo Velázquez (Q58216800)
,Enrique Meléndez-Hevia's home country was among the allied powers.,FALSE,Enrique Meléndez-Hevia (Q90139566)
,Marina Sánchez Hidalgo's home country was among the allied powers.,FALSE,Marina Sánchez Hidalgo (Q116058120)
,Enma Iranzo Martín's home country was among the allied powers.,FALSE,Enma Iranzo Martín (Q3054439)
,Felipe Sánchez de la Cuesta's home country was among the allied powers.,FALSE,Felipe Sánchez de la Cuesta (Q88210967)
,Luis Gandía's home country was among the allied powers.,FALSE,Luis Gandía (Q88550986)
,Santiago Montero-Mendieta's home country was among the allied powers.,FALSE,Santiago Montero-Mendieta (Q28466790)
C75,Marisa Mazari Hiriart is likely to celebrate the Good Friday.,TRUE,
,Eduardo Iglesias is likely to celebrate the Good Friday.,TRUE,Eduardo Iglesias (Q79318009)
,Raúl Ibarra Hernández is likely to celebrate the Good Friday.,TRUE,Raúl Ibarra Hernández (Q112572638)
,Antonio Chedraoui is likely to celebrate the Good Friday.,TRUE,Antonio Chedraoui (Q2836972)
,José Luis Loyola Abogado is likely to celebrate the Good Friday.,TRUE,José Luis Loyola Abogado (Q112572894)
,Ernesto Barba Sánchez is likely to celebrate the Good Friday.,TRUE,Ernesto Barba Sánchez (Q112571609)
,Xóchitl Gálvez is likely to celebrate the Good Friday.,TRUE,Xóchitl Gálvez (Q65430971)
,Leoncio Osvaldo Vivar Martínez is likely to celebrate the Good Friday.,TRUE,Leoncio Osvaldo Vivar Martínez (Q112662329)
,Georges Saad Abi Younes is likely to celebrate the Good Friday.,TRUE,Georges Saad Abi Younes (Q1508994)
,Gabriela Ramos is likely to celebrate the Good Friday.,TRUE,Gabriela Ramos (Q111576363)
,Jaime Rodríguez Salazar is likely to celebrate the Good Friday.,TRUE,Jaime Rodríguez Salazar (Q1519423)
C76,Sahra Wagenknecht often votes like a conservative Republican.,FALSE,
,Dimitar Apasiev often votes like a conservative Republican.,FALSE,Dimitar Apasiev (Q97561475)
,Anita Tack often votes like a conservative Republican.,FALSE,Anita Tack (Q101714)
,Dagmar Enkelmann often votes like a conservative Republican.,FALSE,Dagmar Enkelmann (Q126166)
,Andrea Roth often votes like a conservative Republican.,FALSE,Andrea Roth (Q494951)
,Andreas Bluhm often votes like a conservative Republican.,FALSE,Andreas Bluhm (Q496219)
,Annekatrin Klepsch often votes like a conservative Republican.,FALSE,Annekatrin Klepsch (Q566040)
,Barbara Spaniol often votes like a conservative Republican.,FALSE,Barbara Spaniol (Q807642)
,Bernhard Gonnermann often votes like a conservative Republican.,FALSE,Bernhard Gonnermann (Q825100)
,Birgit Wöllert often votes like a conservative Republican.,FALSE,Birgit Wöllert (Q865376)
,Christian Görke often votes like a conservative Republican.,FALSE,Christian Görke (Q1080069)
C77,Jazmine Rowe made music for a living.,TRUE,
,Hanitra made music for a living.,TRUE,Hanitra (Q3126782)
,Justin Vali made music for a living.,TRUE,Justin Vali (Q17107849)
,Fanja Andriamanantena made music for a living.,TRUE,Fanja Andriamanantena (Q16021022)
,Eusèbe Jaojoby made music for a living.,TRUE,Eusèbe Jaojoby (Q3061106)
,Nataly Andria made music for a living.,TRUE,Nataly Andria (Q3336435)
,Perline Razafiarisoa made music for a living.,TRUE,Perline Razafiarisoa (Q3375446)
,Anisha Jo made music for a living.,TRUE,Anisha Jo (Q115509994)
,Anziza Salema made music for a living.,TRUE,Anziza Salema (Q4778467)
,Erick Manana made music for a living.,TRUE,Erick Manana (Q16731901)
,Ninie Doniah made music for a living.,TRUE,Ninie Doniah (Q16888185)
C78,Someone living in Gujan would most likely travel by plane to reach Aousserd.,TRUE,
,Someone living in Gujan would most likely travel by plane to reach Analalava.,TRUE,Analalava (Q484581)
,Someone living in Gujan would most likely travel by plane to reach Fanjakana.,TRUE,Fanjakana (Q5433888)
,Someone living in Gujan would most likely travel by plane to reach Amparihy-Bejofo.,TRUE,Amparihy-Bejofo (Q4748056)
,Someone living in Gujan would most likely travel by plane to reach Mangamila.,TRUE,Mangamila (Q22002227)
,Someone living in Gujan would most likely travel by plane to reach Marofangady.,TRUE,Marofangady (Q3294570)
,Someone living in Gujan would most likely travel by plane to reach Tsinjoarivo.,TRUE,Tsinjoarivo (Q3541582)
,Someone living in Gujan would most likely travel by plane to reach Milanoa.,TRUE,Milanoa (Q3314015)
,Someone living in Gujan would most likely travel by plane to reach Ibity.,TRUE,Ibity (Q3147429)
,Someone living in Gujan would most likely travel by plane to reach Hadaftimo.,TRUE,Hadaftimo (Q927226)
,Someone living in Gujan would most likely travel by plane to reach Foum el Oued.,TRUE,Foum el Oued (Q23939038)
C79,Avraham Betzalel is from a primarily Christian country.,FALSE,
,Binyamin Maoz is from a primarily Christian country.,FALSE,Binyamin Maoz (Q216556)
,Arad Nir is from a primarily Christian country.,FALSE,Arad Nir (Q6623879)
,Oded Abramsky is from a primarily Christian country.,FALSE,Oded Abramsky (Q6915869)
,Hagay Shemesh is from a primarily Christian country.,FALSE,Hagay Shemesh (Q59754126)
,Hagai Bergman is from a primarily Christian country.,FALSE,Hagai Bergman (Q6492179)
,Ilan Rabinovich is from a primarily Christian country.,FALSE,Ilan Rabinovich (Q12403794)
,Jean-Jacques Askenasy is from a primarily Christian country.,FALSE,Jean-Jacques Askenasy (Q12731327)
,Heinz Hermann is from a primarily Christian country.,FALSE,Heinz Hermann (Q16133217)
,Max Marcus is from a primarily Christian country.,FALSE,Max Marcus (Q6967496)
,Chen Kugel is from a primarily Christian country.,FALSE,Chen Kugel (Q7030163)
C80,People only know Belén Rodríguez by watching her movies or seeing her as a model.,FALSE,
,People only know Arisa Nakamura by watching her movies or seeing her as a model.,FALSE,Arisa Nakamura (Q105704046)
,People only know Riko Funabashi by watching her movies or seeing her as a model.,FALSE,Riko Funabashi (Q56353293)
,People only know Sibel Turnagöl by watching her movies or seeing her as a model.,FALSE,Sibel Turnagöl (Q6071548)
,People only know Gökhan Keser by watching her movies or seeing her as a model.,FALSE,Gökhan Keser (Q4153306)
,People only know Esra Eron by watching her movies or seeing her as a model.,FALSE,Esra Eron (Q2272299)
,People only know Türkü Turan by watching her movies or seeing her as a model.,FALSE,Türkü Turan (Q6548611)
,People only know Onur Tuna by watching her movies or seeing her as a model.,FALSE,Onur Tuna (Q23310073)
,People only know Tuğba Altıntop by watching her movies or seeing her as a model.,FALSE,Tuğba Altıntop (Q15731965)
,People only know Doğa Bekleriz by watching her movies or seeing her as a model.,FALSE,Doğa Bekleriz (Q5303857)
,People only know Özge Gürel by watching her movies or seeing her as a model.,FALSE,Özge Gürel (Q19841238)
C81,It makes sense for Loik Laloum to open a martial arts school to earn a living.,TRUE,
,It makes sense for Shigeki Yamazaki to open a martial arts school to earn a living.,TRUE,Shigeki Yamazaki (Q54867611)
,It makes sense for Abe Uta to open a martial arts school to earn a living.,TRUE,Abe Uta (Q55281936)
,It makes sense for Chie Sasaki to open a martial arts school to earn a living.,TRUE,Chie Sasaki (Q85876402)
,It makes sense for Hiromasa Kasahara to open a martial arts school to earn a living.,TRUE,Hiromasa Kasahara (Q58419996)
,It makes sense for Yuri Nagira to open a martial arts school to earn a living.,TRUE,Yuri Nagira (Q58420211)
,It makes sense for Tsuneo Shibuya to open a martial arts school to earn a living.,TRUE,Tsuneo Shibuya (Q60229970)
,It makes sense for Shūji Kumamoto to open a martial arts school to earn a living.,TRUE,Shūji Kumamoto (Q60231014)
,It makes sense for Mizue Takahashi to open a martial arts school to earn a living.,TRUE,Mizue Takahashi (Q60990783)
,It makes sense for Mizuho Satō to open a martial arts school to earn a living.,TRUE,Mizuho Satō (Q55540487)
,It makes sense for Masato Kataoka to open a martial arts school to earn a living.,TRUE,Masato Kataoka (Q11569782)
C82,Lee Hui-ho birthed a son as part of the family of Kim Dae-jung.,TRUE,
